Label	subjectText	subjectType
1-deoxy-D-xylulose 5-phosphate synthase	1-deoxy-D-xylulose 5-phosphate synthase	Gene_or_Protein
1-deoxy-D-xylulose 5-phosphate synthase	1-deoxy-d-xylulose 5-phosphate synthases	Gene_or_Protein
2-oxoglutarate dehydrogenase	2-oxoglutarate dehydrogenase	Gene_or_Protein
4-coumarate ligase	4CL	Gene_or_Protein
4-coumarate ligase	4-coumarate ligase	Gene_or_Protein
4-reductase	4-reductase	Gene_or_Protein
5-LOX	5-LOX	Gene_or_Protein
6ratio1	6ratio1	Gene_or_Protein
7B-1	7B-1	Gene_or_Protein
9-cis-epoxidase	9-cis-epoxidase	Gene_or_Protein
9-cis-epoxycarotenoid dioxygenase	9-cis-epoxycarotenoid dioxygenase	Gene_or_Protein
9-cis-epoxycarotenoid dioxygenase	9-cis-epoxy-carotenoid dioxygenase	Gene_or_Protein
9-cis-epoxycarotenoid dioxygenase	9-cis-epoxycarotenoid dioxygenases	Gene_or_Protein
9-cis-epoxycarotenoid dioxygenase	NCED	Gene_or_Protein
9-cis-epoxycarotenoid dioxygenase	NCED2	Gene_or_Protein
9-cis-epoxycarotenoid dioxygenase	NCEDs	Gene_or_Protein
A3GT	A3GT	Gene_or_Protein
A5GT	A5GT	Gene_or_Protein
ABF	ABF	Gene_or_Protein
ABF	ABF4	Gene_or_Protein
ACC deaminase	ACC deaminase	Gene_or_Protein
acetyl transferase	acetyl transferase	Gene_or_Protein
ACL	ACL5	Gene_or_Protein
ADC	ADC	Gene_or_Protein
ADC lyase	ADC lyase	Gene_or_Protein
ADC synthase	ADC synthase	Gene_or_Protein
adenine phosphoribosyltransferase	ADENINE PHOSPHORIBOSYLTRANSFERASE	Gene_or_Protein
adenosine diphosphate glucose pyrophosphorylase	Adenosine diphosphate glucose pyrophosphorylase	Gene_or_Protein
adenosine kinase	2.7.1.20	Gene_or_Protein
ADH	ADH	Gene_or_Protein
ADP-glucose	ADP-Glc	Gene_or_Protein
ADP-glucose pyrophosphorylase	ADP-Glc pyrophosphorylase	Gene_or_Protein
ADP-glucose pyrophosphorylase	ADP-glucose pyrophosphorylase	Gene_or_Protein
ADT	ADT	Gene_or_Protein
AGA	AGA	Gene_or_Protein
AGMT	AGMT	Gene_or_Protein
AGPase	AGPase	Gene_or_Protein
AGPase	AGPase;	Gene_or_Protein
AGPase	LSE370GSSWTAGPase	Gene_or_Protein
AgpL1	AgpL1	Gene_or_Protein
amp2	amp2	Gene_or_Protein
AN1	an1	Gene_or_Protein
AN1	Stan1	Gene_or_Protein
AN1	StanI	Gene_or_Protein
AN11	StAN11	Gene_or_Protein
AN2	An2	Gene_or_Protein
AN2	StAn2	Gene_or_Protein
AnnSl	AnnSl3	Gene_or_Protein
AnnSl	AnnSl6	Gene_or_Protein
AnnSl	AnnSl8	Gene_or_Protein
ANS	ANS	Gene_or_Protein
ANT1	ANT1	Gene_or_Protein
anthocyanidin-3′-O-glycoside-6′-O-acyl transferase	anthocyanidin-3′-O-glycoside-6′-O-acyl transferase	Gene_or_Protein
anthocyanidin-3-O-glycosyl transferase	anthocyanidin-3-O-glycosyl transferase	Gene_or_Protein
anthocyanidin-5-O-glycosyl transferase	anthocyanidin-5-O-glycosyl transferase	Gene_or_Protein
anthocyanidin-glycoside-3′-O-methyl transferase	anthocyanidin-glycoside-3′-O-methyl transferase	Gene_or_Protein
anthocyanin synthase	anthocyanin synthase	Gene_or_Protein
"AOS	hydroperoxide dehydratase"	"AOS; hydroperoxide dehydratase"	Gene_or_Protein
APX	APX	Gene_or_Protein
arogenate dehydratase	arogenate dehydratase	Gene_or_Protein
arogenate dehydratase	arogenate dehydrogenase	Gene_or_Protein
AS	AS	Gene_or_Protein
ascorbate oxidase	Ascorbate oxidase	Gene_or_Protein
ascorbate peroxidase	Ascorbate peroxidase	Gene_or_Protein
ASR4	ASR4	Gene_or_Protein
Ast1	StAst1	Gene_or_Protein
AtbZIP11	AtbZIP11	Gene_or_Protein
AtCBF	AtCBF	Gene_or_Protein
AtCYP86A1	AtCYP86A1	Gene_or_Protein
AtGGH	AtGGH1	Gene_or_Protein
AtGGH	AtGGH2	Gene_or_Protein
AtHXK1	AtHXK1	Gene_or_Protein
ATP adenosine 5'-phosphotransferase	ATP:adenosine 5'-phosphotransferase;	Gene_or_Protein
AtPTPKIS1	AtPTPKIS1	Gene_or_Protein
AtRD29A	AtRD29A	Gene_or_Protein
AtWhy1	AtWhy1	Gene_or_Protein
BCO1	BCO1	Gene_or_Protein
BCO2	BCO2	Gene_or_Protein
BE1	StBE1	Gene_or_Protein
BEL5	StBEL5	Gene_or_Protein
beta-carotene hydroxylase	b-carotene hydroxylase	Gene_or_Protein
beta-carotene hydroxylase	b-carotene hydroxylase 1	Gene_or_Protein
beta-carotene hydroxylase	b-carotene hydroxylase 2	Gene_or_Protein
beta-carotene hydroxylase	bch	Gene_or_Protein
beta-carotene hydroxylase	BCH1	Gene_or_Protein
beta-carotene hydroxylase	BCH2	Gene_or_Protein
beta-carotene hydroxylase	beta-carotene hydroxylase	Gene_or_Protein
beta-carotene hydroxylase	beta-carotene hydroxylase 1	Gene_or_Protein
beta-carotene hydroxylase	beta-carotene hydroxylase 2	Gene_or_Protein
beta-carotene hydroxylase	beta-carotene hydroxylases	Gene_or_Protein
beta-carotene hydroxylase	bhy	Gene_or_Protein
beta-carotene hydroxylase	-carotene hydroxylase 1	Gene_or_Protein
beta-carotene hydroxylase	-carotene hydroxylase 2	Gene_or_Protein
beta-carotene hydroxylase	β-carotene hydroxylase	Gene_or_Protein
beta-carotene hydroxylase	β-carotene hydroxylase 2	Gene_or_Protein
#NAME?
beta-carotene ketolase	beta-carotene ketolase	Gene_or_Protein
beta-Chy	b-Chy	Gene_or_Protein
beta-cyclase	beta-cyclase	Gene_or_Protein
beta-cyclase	β-cyclase	Gene_or_Protein
beta-glucuronidase	beta-glucuronidase	Gene_or_Protein
beta-Lcy	beta-Lcy	Gene_or_Protein
bHLH	bHLH	Gene_or_Protein
bHLH	bHLH1	Gene_or_Protein
BHLH1	StbHLH1	Gene_or_Protein
bHLH-WD40	bHLH-WD40	Gene_or_Protein
BPLI4F10TH	BPLI4F10TH	Gene_or_Protein
BRC1	BRC1	Gene_or_Protein
BRs	BRs	Gene_or_Protein
Bt-cry5	Bt-cry5	Gene_or_Protein
byMybSt1	byMybSt1	Gene_or_Protein
BZR1	BZR1	Gene_or_Protein
C-22 desaturase	C-22 desaturase	Gene_or_Protein
C-26 hydroxylase	C-26 hydroxylase	Gene_or_Protein
C4H	C4H	Gene_or_Protein
C57BL/6	C57BL/6	Gene_or_Protein
Ca2	Ca2	Gene_or_Protein
CAA54561	CAA54561	Gene_or_Protein
CaADIP1	CaADIP1	Gene_or_Protein
CaAIP1	CaAIP1	Gene_or_Protein
CaAIP1-overexpressing	CaAIP1-overexpressing	Gene_or_Protein
CaAMP1	CaAMP1	Gene_or_Protein
CaAMP1-overexpressing	CaAMP1-overexpressing	Gene_or_Protein
CaAP2	CaAP2	Gene_or_Protein
CaBZ1	CaBZ1	Gene_or_Protein
CAChi2	CAChi2	Gene_or_Protein
Ca-DREBLP1	Ca-DREBLP1	Gene_or_Protein
Ca-DSR2	Ca-DSR2	Gene_or_Protein
CaMSRB2	CaMSRB2	Gene_or_Protein
CaMV 35S	CaMV 35S	Gene_or_Protein
CaMV35S-ySpdSyn	CaMV35S-ySpdSyn	Gene_or_Protein
CAPRICE	CAPRICE	Gene_or_Protein
capsaicin	Capsaicin	Gene_or_Protein
capsanthin-capsorubin synthase	capsanthin-capsorubin synthase	Gene_or_Protein
capsanthin-capsorubin synthase	capsan-thin-capsorubin synthase	Gene_or_Protein
capsorubin synthase	capsorubin synthase	Gene_or_Protein
CaRAV1	CaRAV1	Gene_or_Protein
carbonic anhydrase	Carbonic anhydrase	Gene_or_Protein
carboxyl methyltransferase	carboxyl methyltransferase	Gene_or_Protein
CaRLP1	CaRLP1	Gene_or_Protein
carotene isomerase	carotene isomerase	Gene_or_Protein
carotenoid	carotenoid	Gene_or_Protein
carotenoid cleavage deoxygenase	carotenoid cleavage deoxygenase	Gene_or_Protein
carotenoid cleavage deoxygenase	carotenoid cleavage deoxygenases	Gene_or_Protein
carotenoid cleavage deoxygenase	carotenoid cleavage dioxygenase	Gene_or_Protein
carotenoid cleavage deoxygenase	carotenoid cleavage dioxygenase 1A	Gene_or_Protein
carotenoid cleavage deoxygenase	Carotenoid Cleavage Dioxygenase4	Gene_or_Protein
carotenoid cleavage deoxygenase	CAROTENOID CLEAVAGE DIOXYGENASE8	Gene_or_Protein
carotenoid cleavage deoxygenase	carotenoid cleavage dioxygenases	Gene_or_Protein
carotenoid cleavage deoxygenase	carotenoid cleavage dioxygena-ses	Gene_or_Protein
carotenoid cleavage deoxygenase	Carotenoid cleavage oxygenases	Gene_or_Protein
carotenoid hydroxylase	carotenoid hydroxylase 1	Gene_or_Protein
carotenoid hydroxylase	carotenoid hydroxylases	Gene_or_Protein
carotenoid isomerase	carotenoid isomerase	Gene_or_Protein
CaSRP1	CaSRP1	Gene_or_Protein
catabolite reductase	catabolite reductase	Gene_or_Protein
CAX	CAX	Gene_or_Protein
CBF	CBF	Gene_or_Protein
CBF1-3	CBF1-3	Gene_or_Protein
CCD	CCD	Gene_or_Protein
CCD	CCDs	Gene_or_Protein
CCD1A	CCD1A	Gene_or_Protein
CCD4	CCD4	Gene_or_Protein
CCD4	CCD4a	Gene_or_Protein
CCD4	CCD4was	Gene_or_Protein
CCD7	CCD7	Gene_or_Protein
CCD8	CCD8	Gene_or_Protein
CCO	CCOs	Gene_or_Protein
CCS	CCS	Gene_or_Protein
cd2	cd2	Gene_or_Protein
CDKA1	CDKA1	Gene_or_Protein
CDPK	CDPK	Gene_or_Protein
CDPK	StCDPK1	Gene_or_Protein
CDPK	StCDPK3	Gene_or_Protein
CEL7	CEL7	Gene_or_Protein
cellulose synthase	cellulose synthase	Gene_or_Protein
CFB	CFB	Gene_or_Protein
CGS	CGS	Gene_or_Protein
CgSDelta90	CgSDelta90	Gene_or_Protein
chalcone isomerase	chalcone isomerase	Gene_or_Protein
chalcone reductase	chalcone reductase	Gene_or_Protein
chalcone synthase	chalcone synthase	Gene_or_Protein
CHI	CHI	Gene_or_Protein
CHI	CHI1	Gene_or_Protein
CHI	Chi9	Gene_or_Protein
CHI	chi-a	Gene_or_Protein
CHLOROPHYLLASE	CHLOROPHYLLASE	Gene_or_Protein
chorismate mutase	chorismate mutase	Gene_or_Protein
chromatin	chromatin	Gene_or_Protein
CHS	CHS	Gene_or_Protein
CHS	Chs1	Gene_or_Protein
CHY	CHY	Gene_or_Protein
CHY	CHY1	Gene_or_Protein
CHY	CHY2	Gene_or_Protein
CHY	CHY2.3	Gene_or_Protein
cinnamate-4-hydroxylase	cinnamate-4-hydroxylase;	Gene_or_Protein
cinnamoyl-CoA reductase	cinnamoyl-CoA reductase	Gene_or_Protein
